,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
28671,28671,"If Romney wins the nomination, his strategists argued, the fall campaign against President Obama will be shaped by what they described as an overarching sense of ""prolonged misery"" among voters who are just as concerned about the housing crisis as with unemployment and believe the nation is on the wrong track. [...] as the unemployment rate fell to 8.3 percent, its lowest level in three years, Republican and Democratic strategists wondered Friday what path to the presidency there could be for Romney - who is running as the master of turnarounds - if the economy has already turned around by the fall.","Rucker, Philip",2012-02-04,Uptick forces Romney to adjust message,A-SECTION,Washington Post,1295.0,28671,Romney
28672,28672,"Ezra Klein comments on the risk-free deal Mitt Romney made with Bain Capital in 1999 when he took a leave of absence to run the Salt Lake City Olympics, saying he will be putting his 2012 presidential campaign at risk if he doesn't come up with better explanations about his economic policy proposals.","Klein, Ezra",2012-07-17,Romney's risk-free deal with Bain,,Washington Post,,28672,Romney
28680,28680,"A Tom Toles editorial cartoon depicts 2012 Republican presidential candidate Mitt Romney, with vice presidential pick Paul Ryan behind him, as he slices into a cake labeled ""tax cuts"" with a knife labeled ""spending cuts"" that extends through a person on the other side of the cake.","Toles, Tom",2012-08-15,Editorial cartoon,,Washington Post,,28680,Romney
28696,28696,"Cantor, once whispered about as a potential Mitt Romney running mate, is in the background this week at the Republican National Convention, where the focus has been on touting governors and female politicians to try to expand the party's appeal.","Kane, Paul",2012-08-30,Cantor stays out of spotlight in Tampa,A-SECTION,Washington Post,1023.0,28696,Romney
28699,28699,Romney managed to escape any sustained attacks on health care during the primary season by focusing not on the past but on the future: pledging to repeal Obama's law.,"Cillizza, Chris",2012-04-10,5 things Romney should do now,A-SECTION,Washington Post,427.0,28699,Romney
28705,28705,A Tom Toles editorial cartoon depicts 2012 Republican presidential contender Mitt Romney's presiding over a shell game in which he invites a contestant who has failed to pick the correct shell hiding Romney's tax returns to try again at picking the shell hiding his own tax rates.,"Toles, Tom",2012-10-11,Editorial cartoon,,Washington Post,,28705,Romney
28732,28732,"""Ponzi scheme!"" Overnight, Social Security has emerged as the first significant disagreement - though so far largely a rhetorical one - between Perry and Mitt Romney, his main rival for the GOP nomination. Republicans suffered after Bush tried to overhaul Social Security, and polling suggests that the House Republicans' plan this spring to overhaul another entitlement program, Medicare, is unpopular with independent voters.","Rucker, Philip",2011-09-09,Romney campaign seizes on Perry's Social Security comments,A-SECTION,Washington Post,1051.0,28732,Romney
28734,28734,"Democrats are armed with multiple video clips from Republican primary debates in which he hit his opponents for supporting measures such as charging in-state college tuition for illegal immigrants. [...]Romney's views on immigration have highlighted a potential divide between him and other Republicans, including Sen. Marco Rubio (Fla.), who have supported finding a way to legalize students and college graduates in addition to those who serve in the military.\n","Sonmez, Felicia; Wallsten, Peter",2012-06-22,Romney tries to soften image among Latinos,A-SECTION,Washington Post,1168.0,28734,Romney
28736,28736,"At the beginning of last week, Santorum held a clear lead in Ohio, but that was before Romney won Michigan and Arizona. [...] Romney has gained ground, just as he did on his way to his narrow victory in Michigan.","Balz, Dan",2012-03-04,A pivotal Tuesday,A-SECTION,Washington Post,1258.0,28736,Romney
28741,28741,[...] Cuccinelli said trying to make immediate changes would not be fair to the Romney and Paul campaigns.,"Blake, Aaron",2012-01-02,Cuccinelli reverses his stance on adding candidates to ballot,A-SECTION,Washington Post,410.0,28741,Romney
28747,28747,"MYRTLE BEACH, S.C. - MYRTLE BEACH, S.C. - Former Utah governor Jon Huntsman Jr., whose campaign for the Republican presidential nomination never took off, will quit the race Monday morning and endorse former Massachusetts governor Mitt Romney, according to campaign officials with knowledge of the decision. According to one official, they concluded that, despite what he believed was some momentum from his third-place finish in New Hampshire, his continuation in the race would only hinder Romney's candidacy and that it was best to get out now rather than take votes away from the GOP front-runner. According to an official, they were caught ""totally by surprise.""","Balz, Dan; Cillizza, Chris",2012-01-16,"Huntsman set to withdraw, back Romney",A-SECTION,Washington Post,959.0,28747,Romney
28748,28748,"How else are you going to find out how he feels about things that are important to us? said Karon Cowan, 63, an accountant who is torn between Romney and former House speaker Newt Gingrich and attended Romney's rally Saturday in Colorado Springs.","Rucker, Philip",2012-02-06,Romney moves from question time to boarding call,A-SECTION,Washington Post,1110.0,28748,Romney
28754,28754,"Renaissance co-chief executive Robert L. Mercer, meanwhile, has given more than $3.5 million to super PACs supporting Republicans and also has helped raise money for presidential nominee Mitt Romney.","Eggen, Dan",2012-10-25,"At N.Y. firm, millions in dueling donations",A-SECTION,Washington Post,728.0,28754,Romney
28760,28760,[...]the bigger and more important question when it comes to the electoral-college conversation is whether former Massachusetts governor Mitt Romney can come close to replicating the path to victory that President George W. Bush took during his 2004 reelection race.,"Cillizza, Chris",2012-09-24,Romney can't find path to victory on Bush's '04 electoral map,A-SECTION,Washington Post,762.0,28760,Romney
28764,28764,"[...]can the Obama campaign turn the argument over Romney and Bain into a broader challenge to the Republican claim that the only thing government can do to spur job creation is to get out of the way? ""Jobs"" will remain the Romney battle cry for the rest of the campaign, but the success of the anti-Bain offensive points to an opportunity for Obama to engage in a kind of political jujitsu.","Dionne, EJ",2012-07-02,Romney's Bain problem,EDITORIAL-OPINION,Washington Post,735.0,28764,Romney
28770,28770,A Tom Toles editorial cartoon lampoons 2012 Republican presidential candidate Mitt Romney's efforts to rebut debate attacks from fellow contender Newt Gingrich.,"Toles, Tom",2011-12-16,Editorial cartoon,,Washington Post,,28770,Romney
28815,28815,A Tom Toles editorial cartoon satirizes 2012 Republican presidential candidate Mitt Romney's grandiose claims of accomplishment as governor and promises during debates that he will repeat those achievements as president.,"Toles, Tom",2012-11-04,Editorial cartoon,,Washington Post,,28815,Romney
28829,28829,"Tidal wave comin' 'cross the Mexican border, country artist Toby Keith now sings over Romney's loudspeakers at some rallies. In Romney's case, his campaign playlist has already traced a shift in his political persona - from 2008's Boston businessman (playing the Fenway Park standard ""Sweet Caroline"") to 2012's untethered American conservative (""like an untamed stallion,"" Kid Rock sings).","Fahrenthold, David A",2012-02-09,Mood m u s ic,STYLE,Washington Post,951.0,28829,Romney
28837,28837,A Tom Toles editorial cartoon satirizes 2012 Republican presidential contender Mitt Romney's contradictory stances on health care reform at the state and federal levels.,"Toles, Tom",2011-05-15,Editorial cartoon,,Washington Post,,28837,Romney
28844,28844,"Texas Gov. Rick Perry's recent stumbles - his rambling attempt at last week's GOP presidential debate to attack former Massachusetts governor Mitt Romney's flip-flopping is a prime example - have renewed speculation that New Jersey Gov. Chris Christie might rethink his ""no go"" decision on the 2012 race.","Cillizza, Chris",2011-09-26,Why Chris Christie should (and shouldn't) run in 2012,A-SECTION,Washington Post,716.0,28844,Romney
28845,28845,"An expert at manipulating the news cycle with a coveted connection to the elusive media power broker Matt Drudge, Rhoades is particularly well suited to run a campaign that Romney himself characterized this weekend as employing a confidentiality of strategy. In 2003, with Bush's reelection effort on the immediate horizon, Rhoades returned to the RNC as Griffin's deputy in the research department, fostering unflattering stories about Democratic contenders.","Horowitz, Jason",2011-11-21,"The Romneycampaign's strong, silent type of hero",STYLE,Washington Post,1248.0,28845,Romney
28850,28850,[...] Cuccinelli said trying to make immediate changes would not be fair to the Romney and Paul campaigns.,"Blake, Aaron",2012-01-02,Cuccinelli reverses his stance on adding candidates to ballot,A-SECTION,Washington Post,410.0,28850,Romney
28852,28852,"[...]go on offense. If Mitt Romney and Ryan can successfully counterattack Mediscare, the Ryan effect becomes a major plus. Because: (a) Ryan nationalizes the election and makes it ideological, reprising the 2010 dynamic that delivered a ""shellacking"" to the Democrats. (b) If the conversation is about big issues, Obama cannot hide from his dismal economic record and complete failure of vision.","Krauthammer, Charles",2012-08-17,"Romney's present, Ryan's future",EDITORIAL-OPINION,Washington Post,785.0,28852,Romney
28883,28883,"Officials claimed they are operationally ready for the convention, but the possible disruption from the storm creates unexpected problems for an event that has been months in the planning. [...]the storm passes, no one can say with certainty what to expect the first days of next week.","Balz, Dan",2012-08-27,Showtime arrives for Romney campaign,A-SECTION,Washington Post,1035.0,28883,Romney
28891,28891,"(Vice President George H.W. Bush won 426 electoral votes in his 1988 victory over Massachusetts Gov. Michael Dukakis.) By contrast, Bill Clinton in 1992 (370 electoral votes) and 1996 (379) as well as Obama in 2008 (365) soared well beyond the 300-electoral-vote marker.","Cillizza, Chris",2012-04-30,"On electoral map, Romney has little room to navigate",A-SECTION,Washington Post,678.0,28891,Romney
28897,28897,"Ezra Klein comments on the risk-free deal Mitt Romney made with Bain Capital in 1999 when he took a leave of absence to run the Salt Lake City Olympics, saying he will be putting his 2012 presidential campaign at risk if he doesn't come up with better explanations about his economic policy proposals.","Klein, Ezra",2012-07-17,Romney's risk-free deal with Bain,,Washington Post,,28897,Romney
28907,28907,"At the beginning of last week, Santorum held a clear lead in Ohio, but that was before Romney won Michigan and Arizona. [...] Romney has gained ground, just as he did on his way to his narrow victory in Michigan.","Balz, Dan",2012-03-04,A pivotal Tuesday,A-SECTION,Washington Post,1258.0,28907,Romney
28908,28908,"Meyer makes her point without sacrificing her point of view. [...] she writes plain, keep-it-moving prose. In its early decades, the church was a countercultural haven, offering believers an alternative to America's emerging evangelical synthesis of individualistic piety and free-market economics, a mix that seemed harsh and callous to many.","Winston, Diane",2012-03-11,The faith that fills the Romney soul,OUTLOOK,Washington Post,1232.0,28908,Romney
28915,28915,"The revelations come at a time when President Obama and other Democrats are increasing their focus on economic fairness issues ahead of the 2012 elections, including calls to increase tax rates on millionaires and close tax loopholes on investment income.","Eggen, Dan; Farnam, T W",2012-02-02,Romney relying on small group of big donors,A-SECTION,Washington Post,1019.0,28915,Romney
28925,28925,"Two weeks before Iowans cast the first votes of the 2012 election cycle, Republicans nationally are sharply divided over whom their party's presidential nominee should be, with Mitt Romney and Newt Gingrich locked in a dead-even race, according to a new Washington Post-ABC News poll. Romney and Gingrich are also tied among those who are the strongest supporters of the tea party movement, and draw almost evenly among men and women and across age groups.","Cohen, Jon; Balz, Dan",2011-12-20,"Romney, Gingrich in dead heat nationally",A-SECTION,Washington Post,1144.0,28925,Romney
28928,28928,"In addition to the spirited Democratic contest, the Republican primary in 2008 featured a number of prominent and well-funded candidates, including Romney, former New York mayor Rudolph W. Giuliani and Sen. John McCain (Ariz.), who went on to win the nomination.","Eggen, Dan",2012-07-05,Presidential fundraising down as that for Congress soars,A-SECTION,Washington Post,706.0,28928,Romney
28937,28937,"Numbers that voters care about Unemployment gas price per gallon dow jones industrial average avg. sale price for new houses national debt On the cover After delivering his energy speech at a rally on Thursday, Mitt Romney sits for multiple television interviews in a warehouse building in Hobbs, N.M.",,2012-08-26,Who is Willard Mitt Romney?,A-SECTION,Washington Post,332.0,28937,Romney
28954,28954,A Tom Toles editorial cartoon satirizes 2012 Republican presidential candidate Mitt Romney's grandiose claims of accomplishment as governor and promises during debates that he will repeat those achievements as president.,"Toles, Tom",2012-11-04,Editorial cartoon,,Washington Post,,28954,Romney
28980,28980,A Tom Toles editorial cartoon mocks the indecision within the Republican Party about backing Mitt Romney as its 2012 presidential candidate.,"Toles, Tom",2012-01-05,Editorial cartoon,,Washington Post,,28980,Romney
28982,28982,"In the school's cafeteria, the county recorder, wearing a blue Mitt Romney sweater, registered voters and handed Burns a slip of paper with the names of the competing candidates. Unlike the Democratic caucuses, where factions of supporters try to get neighbors to join them in different parts of the room, the orderly Republicans sat quietly in the bleachers and 240 folding chairs arranged in rows on the glossy hardwood floor.","Horowitz, Jason",2012-01-04,'We can finally . . . make this decision',A-SECTION,Washington Post,955.0,28982,Romney
28994,28994,"Mr. Romney gives more credence than we do to the ability of tax cuts to promote economic growth; simultaneously, he overestimates the impact of what he describes as ""the vast expansion of costly and cumbersome regulation of sectors of the economy, ranging from energy to finance to health care.""",Anonymous,2011-09-08,The Romney plan,EDITORIAL-OPINION,Washington Post,589.0,28994,Romney
28999,28999,"[...] the proliferation of political media outlets and the uptick in debates make it easier for a candidate to get his or her message out without much money. [...] super PACs, which have no contribution limits, can prop up a candidate whose campaign is otherwise struggling to raise money.","Blake, Aaron",2012-01-31,"Even if Romney takes Fla., the Republican race could drag on",A-SECTION,Washington Post,871.0,28999,Romney
29025,29025,"Meyer makes her point without sacrificing her point of view. [...] she writes plain, keep-it-moving prose. In its early decades, the church was a countercultural haven, offering believers an alternative to America's emerging evangelical synthesis of individualistic piety and free-market economics, a mix that seemed harsh and callous to many.","Winston, Diane",2012-03-11,The faith that fills the Romney soul,OUTLOOK,Washington Post,1232.0,29025,Romney
29031,29031,"How many of these younger and/or better-educated women are going to identify with Ann Romney's father-knows-best description of life in chez Romney? I understand that the candidate badly needs humanizing but, especially for general-election purposes, it would be more powerful to combine the family story with examples, assuming they exist, about Workplace Mitt promoting women or adopting family-friendly policies.\n","Marcus, Ruth",2012-04-11,This is not a wifely duty,EDITORIAL-OPINION,Washington Post,749.0,29031,Romney
29041,29041,"The tight margin in what is expected to be a major swing state at the presidential level next year is drawing many boldface political names - including former Massachusetts governor Mitt Romney, who rallied voters in Fairfax County last week.","Cillizza, Chris",2011-10-31,"As Election Day 2012 looms large, races to watch in 2011",A-SECTION,Washington Post,645.0,29041,Romney
29060,29060,"In the Boston headquarters, a few blocks from the North End apartment Biber, 33, shares with her husband and two young sons, she can be seen hugging black binders full of delegate information, wearing a Romney sweatshirt with the words ""Legal team"" stitched on the arm, or walking reporters through the campaign's operations in major states such as Illinois, where Romney added to his delegate advantage Tuesday. When it came time to leave her childhood room (it was so messy, her father said, that police responding to a false alarm about a break-in thought burglars had ransacked her quarters), the family expected her to apply to an affordable state school.","Horowitz, Jason",2012-03-22,The dedicated delegate finder,STYLE,Washington Post,1237.0,29060,Romney
29083,29083,[...] several vivid contrasts between the GOP nominee and Obama are emerging from the fog of battle.,"Eskew, Carter; Rogers, Ed",2012-02-26,Romney's semi-serious tax plan,EDITORIAL-OPINION,Washington Post,313.0,29083,Romney
29095,29095,"Former Massachusetts governor Mitt Romney, presumed to be a strong contender in the race for the 2012 Republican presidential nomination, took an initial step on Monday, with the announcement that he is forming an exploratory committee.","Tumulty, Karen",2011-04-12,Romney forming exploratory committee,A-SECTION,Washington Post,783.0,29095,Romney
29108,29108,"A Tom Toles editorial cartoon depicts 2012 Republican presidential contender Mitt Romney's attempt to balance on the Republican elephant as it stands atop the globe, while Romney's wife Ann, who is interested in Olympic-level equestrian events, asserts that she can't watch what she calls ""Mitt's event.""","Toles, Tom",2012-07-31,Editorial cartoon,,Washington Post,,29108,Romney
29123,29123,"First and foremost, Romney should vigorously, not timidly, disassociate himself from the extremes within our party by reiterating to the national audience that the overly rigid language on abortion in the GOP platform - which includes no explicit exceptions for cases of rape, incest or danger to the life of the mother - does not represent his view, nor has it been his position.","Snowe, Olympia J",2012-08-27,The GOP has a problem with women. Here's how we can fix that.,STYLE,Washington Post,1189.0,29123,Romney
29143,29143,"An editorial examines 2012 Republican presidential candidate Mitt Romney's role at Bain Capital, suggesting that his rivals for the nomination should focus on aspects of the private-equity firm's dealings that are clearly favorable to its managers.",,2012-01-11,The Bain of his campaign?,,Washington Post,,29143,Romney
29149,29149,"First we had Tea Party chieftain Jim DeMint (R-S.C.) appearing to signal that he would never endorse the former Massachusetts governor unless Romney admitted that his state's health plan and the individual mandate were a ""colossal mistake.""",Anonymous,2011-03-20,Beating up on Romney,A-SECTION,Washington Post,334.0,29149,Romney
29154,29154,A Tom Toles editorial cartoon depicts Mitt Romney looking upon a field strewn with garbage and demanding that the country wrap up his nomination as Republican candidate for President in 2012.,"Toles, Tom",2012-03-08,Editorial cartoon,,Washington Post,,29154,Romney
29168,29168,"The gulf between the Republican Party and British Conservatives was clearly on display during Romney's visit to London ahead of the 2012 Olympics, when his suggestion that the city wasn't quite prepared to host the Games generated stinging rebukes from Cameron and London Mayor Boris Johnson, a fellow Conservative.","Birnbaum, Michael; Richburg, Keith B",2012-10-22,Dead heat in U.S. presidential race surprises observers abroad,A-SECTION,Washington Post,1061.0,29168,Romney
29178,29178,"He told ABC's George Stephanopoulos he would have voted for the plan, ""including the Medicare provisions."" [...] Priorities USA Action, a political group run by two former White House aides, began airing an ad in South Carolina on Friday that criticizes former Massachusetts governor Mitt Romney, who was visiting the state, over the Ryan plan.","Cillizza, Chris",2011-05-23,Gingrich illustrates political peril for Republican critics of Ryan,A-SECTION,Washington Post,736.0,29178,Romney
29195,29195,"In January, for example, former House speaker Newt Gingrich sought to distance himself from a series of ads, attacking Romney as a former corporate raider, that were funded by Winning Our Future, a pro-Gingrich super PAC funded by $11 million in contributions from a Las Vegas casino magnate and his family.","Eggen, Dan",2012-02-18,'Aspirin' joke shows risk outside groups pose to candidates,A-SECTION,Washington Post,992.0,29195,Romney
29219,29219,"When he winds up as the Republican nominee, it's likely to be that story that takes over - how Romney won the GOP nomination without bowing too much to the conservative base and how he is a stronger-than-expected general election candidate. -","Cillizza, Chris",2012-03-28,Five signs of an impending race,A-SECTION,Washington Post,422.0,29219,Romney
29226,29226,"BEDFORD, N.H. - BEDFORD, N.H. - Mitt Romney framed the 2012 presidential election in a speech here Tuesday night as a choice between an ""entitlement society"" dependent on government welfare and an ""opportunity society"" that enables businesses to flourish.","Rucker, Philip",2011-12-21,Romney speech describes 'battle for America's soul',A-SECTION,Washington Post,537.0,29226,Romney
29227,29227,"Romney's Republican Party colleagues have complicated their eventual nominee's efforts to win more votes of women, particularly suburban women, by extending the debate over Obama's initial contraception policy and allowing it to turn into a conversation about women's rights as much as religious liberty.","Balz, Dan",2012-03-25,Can Romney hit reset on his campaign?,A-SECTION,Washington Post,1152.0,29227,Romney
29229,29229,"When a Washington Post-ABC News poll asked Republicans and GOP-leaning independents in mid-April to name whom they would vote for in a primary or a caucus, the leading contender, former Massachusetts governor Mitt Romney, registered only 16 percent.","Tumulty, Karen",2011-05-05,Stage set for first GOP debate. So where are the candidates?,A-SECTION,Washington Post,1072.0,29229,Romney
29275,29275,"Mitt Romney's presidential campaign and American Crossroads, an allied interest group, are barred by federal law from working together on political advertising. The company also works for the Republican Party, prominent Republican House and Senate candidates, and interest groups active in congressional races, including the American Action Network, Americans for Prosperity and Crossroads GPS, which is affiliated with American Crossroads.","Farnam, T W",2012-10-14,Savvy vendors skirt campaign law,A-SECTION,Washington Post,1030.0,29275,Romney
29276,29276,"Mitt Romney's weakness as a presidential candidate in Virginia so far threatens to derail the political ambitions of the state's two most prominent Republicans, Gov. Robert F. McDonnell and U.S. Senate candidate George Allen.","McCartney, Robert",2012-10-07,Romney's woes threaten McDonnell and Allen,METRO,Washington Post,787.0,29276,Romney
29296,29296,"DES MOINES - With the wide-open battle for the Republican presidential nomination solidifying, Tim Pawlenty moved quickly Monday to offer himself as the leading alternative to presumptive front-runner Mitt Romney and to seize the mantle of a tough, truth-talking fiscal conservative.","Rucker, Philip",2011-05-24,Pawlenty makes it official: He's running,A-SECTION,Washington Post,1022.0,29296,Romney
29306,29306,Correction: A chart with the continuation of an April 26 Page One article about campaign ad spending by nonprofit groups that do not reveal their donors incorrectly characterized the Environmental Defense Fund's ad spending as anti-Mitt Romney.,"Eggen, Dan",2012-04-26,"Behind the ads, faceless donors",A-SECTION,Washington Post,1200.0,29306,Romney
29311,29311,"Bain, Bain, Bain?) With the addition of his old foil, Ryan, to the Republican ticket headed by Mitt Romney, and the spotlight that Ryan's controversial budget proposal shines on Medicare, Democrats think Messina's experience quashing Social Security privatization makes him an ideal general.","Horowitz, Jason",2012-08-16,"So far, it's Messina 1, Ryan 0",STYLE,Washington Post,633.0,29311,Romney
29314,29314,[...] an outside group formed by two former White House aides has already used the clip in an ad targeting former Massachusetts governor Mitt Romney.,Anonymous,2011-05-23,"""The literati sent out their minions to do their bidding. Washington cannot tolerate threats from outsiders who might disrupt their comfortable world.""",A-SECTION,Washington Post,345.0,29314,Romney
29323,29323,A Tom Toles editorial cartoon depicts 2012 Republican presidential contender Mitt Romney's presiding over a shell game in which he invites a contestant who has failed to pick the correct shell hiding Romney's tax returns to try again at picking the shell hiding his own tax rates.,"Toles, Tom",2012-10-11,Editorial cartoon,,Washington Post,,29323,Romney
29329,29329,"[...]of the high estimate, Romney overpaid his 2011 taxes and will apply the overpayment to his 2012 taxes, the campaign said.","Rucker, Philip; Yang, Jia Lynn; Mufson, Steven",2012-09-22,Romney tax rate 14.1% in 2011,A-SECTION,Washington Post,1448.0,29329,Romney
29332,29332,"First and foremost, Romney should vigorously, not timidly, disassociate himself from the extremes within our party by reiterating to the national audience that the overly rigid language on abortion in the GOP platform - which includes no explicit exceptions for cases of rape, incest or danger to the life of the mother - does not represent his view, nor has it been his position.","Snowe, Olympia J",2012-08-27,The GOP has a problem with women. Here's how we can fix that.,STYLE,Washington Post,1189.0,29332,Romney
29350,29350,"A Tom Toles editorial cartoon mocks 2012 Republican presidential candidate Mitt Romney's explanation about his ""retroactive"" retirement from Bain Capital that would free him from answering questions about the company's outsourcing activities during his campaign.","Toles, Tom",2012-07-17,Editorial cartoon,,Washington Post,,29350,Romney
29360,29360,"An editorial examines 2012 Republican presidential candidate Mitt Romney's role at Bain Capital, suggesting that his rivals for the nomination should focus on aspects of the private-equity firm's dealings that are clearly favorable to its managers.",,2012-01-11,The Bain of his campaign?,,Washington Post,,29360,Romney
29377,29377,"Two weeks before Iowans cast the first votes of the 2012 election cycle, Republicans nationally are sharply divided over whom their party's presidential nominee should be, with Mitt Romney and Newt Gingrich locked in a dead-even race, according to a new Washington Post-ABC News poll. Romney and Gingrich are also tied among those who are the strongest supporters of the tea party movement, and draw almost evenly among men and women and across age groups.","Cohen, Jon; Balz, Dan",2011-12-20,"Romney, Gingrich in dead heat nationally",A-SECTION,Washington Post,1144.0,29377,Romney
29381,29381,"THE 2012 PRESIDENTIAL election will present voters with contrasting visions of government, brought into sharper focus by Mitt Romney's selection of House Budget Committee Chairman Paul Ryan as his running mate.",,2012-08-14,Dueling fiscal myths,EDITORIAL-OPINION,Washington Post,602.0,29381,Romney
29384,29384,"A Tom Toles editorial cartoon mocks 2012 Republican presidential candidate Mitt Romney's misstep in his campaign in which he asserted that he enjoys firing people, suggesting that he doesn't seem able to grasp the struggles of the average American while accepting campaign contributions from wealthy donors who seek to profit from the idling of human labor.","Toles, Tom",2012-01-11,Editorial cartoon,,Washington Post,,29384,Romney
29391,29391,"A Tom Toles editorial cartoon, commenting on Mitt Romney's announcement that he has formed an exploratory committee for the 2012 presidential election, depicts Romney searching through a trunk labeled ""Do I believe in anything?""","Toles, Tom",2011-04-13,Editorial cartoon,,Washington Post,,29391,Romney
29434,29434,"The candidate's more pessimistic comments on peace in the Middle East put him at odds with the Republican Party platform, which expresses support for ""two democratic states - Israel with Jerusalem as its capital and Palestine - living in peace and security,"" adding: ""For that to happen, the Palestinian people must support leaders who reject terror, embrace the institutions and ethos of democracy, and respect the rule of law.""","Wilson, Scott; O'Keefe, Ed",2012-09-19,Romney told donors Palestinians don't want peace with Israel,A-SECTION,Washington Post,947.0,29434,Romney
29440,29440,"For the men and woman running for the 2012 Republican presidential nomination, the close of the quarter amounts to one of the first real proof points of the contest.","Cillizza, Chris",2011-06-27,Romney and Bachmann likely to report the biggest piles of cash,A-SECTION,Washington Post,884.0,29440,Romney
29457,29457,"Officials claimed they are operationally ready for the convention, but the possible disruption from the storm creates unexpected problems for an event that has been months in the planning. [...]the storm passes, no one can say with certainty what to expect the first days of next week.","Balz, Dan",2012-08-27,Showtime arrives for Romney campaign,A-SECTION,Washington Post,1035.0,29457,Romney
29458,29458,"The president is raising money for a joint fundraising account with the Democratic National Committee, allowing donors to write a single large check that is then divvied up between his reelection campaign and the DNC.","Cillizza, Chris",2011-07-07,Romney campaign raises more than $18 million,A-SECTION,Washington Post,468.0,29458,Romney
29459,29459,"After every other conservative alternative to Mitt Romney crashed and burned (libertarian Ron Paul is in a category of his own), from the rubble emerges Rick Santorum. [...] Iowa is anomalous.","Krauthammer, Charles",2012-01-06,A worthy challenger,EDITORIAL-OPINION,Washington Post,755.0,29459,Romney
29472,29472,"The 2012 presidential race * The fact that Romneyfinally opened an Iowa headquarters tells you all you need to know about the caucus race. * Sure he's in trouble, but historically, the incumbent will win by 4 points if the unemployment rate stays under 10 percent, the GDP doesn't drop more than 0.1 percentage point and consumer confidence - we call it the Wal-Mart Index - stays above 50. * I'm hearing Hillary replaces Biden next year with the lock for the 2016 ticket- or does 'Dancing With the Stars.'",,2011-11-24,Thanksgiving Day talking points,STYLE,Washington Post,572.0,29472,Romney
29473,29473,A Tom Toles editorial cartoon lampoons 2012 Republican presidential candidate Mitt Romney's inability to emerge as the clear victor for the party's nomination.,"Toles, Tom",2012-02-29,Editorial cartoon,,Washington Post,,29473,Romney
29479,29479,"Romney's efforts to dismiss the criticisms of his Bain record as the politics of envy has significant potential to boomerang on him,"" said Democratic pollster Geoff Garin, ""because it sets him up as an elitist who won't change a system that Americans have come to see as rigged in favor of people like Romney.","Balz, Dan",2012-01-12,Romney showed his mettle - and his weaknesses,A-SECTION,Washington Post,959.0,29479,Romney
29488,29488,"With New Jersey Gov. Chris Christie forgoing a run for the Republican presidential nomination, two questions hold the key to the future of the GOP race: Christie's decision offers the Texas governor a better chance to regroup and emerge as Romney's main challenger once the primaries and caucuses begin in January and the voters start to winnow the field.","Balz, Dan",2011-10-05,What does Christie's no-go mean for others?,A-SECTION,Washington Post,1261.0,29488,Romney
29493,29493,Mitt Romney has been battered by a series of opponents - really by the series of millionaire Republican PAC donors who splurged on negative ads against him. Romney himself has sometimes sounded like a millionaire Republican businessman - not a stretch for him - with a luxury car buyer's interest in Detroit and a team owner's interest in NASCAR.,"Gerson, Michael",2012-03-06,"Romney isn't done, yet",EDITORIAL-OPINION,Washington Post,755.0,29493,Romney
29496,29496,"Hassett and other conservative economists also defended Gingrich's tax plan, which would eliminate taxes entirely on capital gains, dividends and interest payments. Because virtually all of Romney's income flows from those sources, he would have owed taxes only on the $530,000 in business income he claimed from speaking fees if Gingrich's tax plan had been in effect in 2010. [...] that tax probably would have been wiped out entirely by Romney's deductions, said Roberton Williams, a senior fellow at the nonpartisan Tax Policy Center, which has analyzed the candidates' tax plans.","Montgomery, Lori; Yang, Jia Lynn",2012-01-25,Tax returns make Romney the face of campaign's debate over fairness,A-SECTION,Washington Post,942.0,29496,Romney
29497,29497,"First and foremost, Romney should vigorously, not timidly, disassociate himself from the extremes within our party by reiterating to the national audience that the overly rigid language on abortion in the GOP platform - which includes no explicit exceptions for cases of rape, incest or danger to the life of the mother - does not represent his view, nor has it been his position.","Snowe, Olympia J",2012-08-26,The GOP has a problem with women. Here's how we can fix that.,OUTLOOK,Washington Post,1189.0,29497,Romney
29510,29510,"The candidate who talked of small-town Americans as clinging ""to guns or religion"" lost white working-class voters by 18 points in 2008. Romney will have to say something about improving failed schools, encouraging college attendance or updating job training efforts - really about anything that shows a practical concern for economic mobility.","Gerson, Michael",2012-02-28,Romney's wealth problem,EDITORIAL-OPINION,Washington Post,757.0,29510,Romney
29517,29517,"The president's field operation - a network of offices and on-the-ground staffers, along with volunteers focused on registering voters and turning them out on Nov. 6 - is widely viewed as one of his leading advantages against his Republican challenger, Mitt Romney. According to state election statistics, Democrats have registered more than 30,000 new voters this month, compared with 23,000 for Republicans.","Gardner, Amy",2012-09-02,"Like Denver, will Charlotte deliver?",A-SECTION,Washington Post,1042.0,29517,Romney
29544,29544,"Hosts included longtime GOP fundraiser Wayne Berman, who represents the American Petroleum Institute and many others; GOP lobbyist Mark Isakowitz, whose lengthy client list includes banks, oil companies and technology firms; and Alex Mistri of the Glover Park Group, which briefly represented Solyndra, a solar-energy firm that went bankrupt after receiving a $535 million government loan guarantee.","Eggen, Dan; Farnam, T W",2011-10-28,Romney leads the Republican pack in donations from lobbyists,A-SECTION,Washington Post,945.0,29544,Romney
